ID,a_hol,h_hol,AIC_hol,BIC_hol,R_hol,a_gen,h_gen,q_gen,AIC_gen,BIC_gen,R_gen,a_hol_I,AIC_hol_I,BIC_hol_I,R_hol_I,p3_c0,p3_c1,p3_c2,p3_c3,AIC_p3,BIC_p3,R_p3,p2_c0,p2_c1,p2_c2,AIC_p2,BIC_p2,R_p2
691,1.233855339255463e-05,4051.6984588931987,-1241.3528876091261,-1237.164198484682,0.7195309324073886,1.110214616328875e-05,4433.940891544349,0.07407790445371853,-1239.4098749529642,-1233.1268412662978,0.7197960736185505,5.4163241023363895e-06,-1222.9188080957024,-1220.8244635334802,0.6186908981995174,2.5942170894525643e-06,9.977959613456103e-06,-2.1601518742091135e-07,1.5194577330527862e-09,-1237.5380235718794,-1229.160645322991,0.7203919677809644,4.0704462500000185e-06,9.184473052504028e-06,-1.4419507678223714e-07,-1239.5065792963674,-1233.223545609701,0.7202453948436469
695,6.638597598529472e-05,242.23434730348194,-93.85459529066573,-94.63571946579752,0.9754377309386371,6.638644142897832e-05,242.23914730084343,1.0652263515709137e-09,-91.85459528352447,-93.02628154622218,0.975437730210497,4.833613283117266e-05,-90.90473696766495,-91.29529905523084,0.9344405969714924,-0.00016802317024497418,0.00013022304422504664,-6.029403901552863e-06,1.1338102425738005e-07,-94.43354193906845,-95.99579028933205,0.9901692314474378,8.497143243915192e-05,5.150578500959857e-05,-3.0343329427904473e-07,-92.1410826713815,-93.3127689340792,0.9768033245454499
708,2.6017524110910628e-05,2903.994276012655,-105.56323460519792,-106.34435878032971,0.9485905643542538,1.3860826572287266e-05,3248.4027607419894,0.3202859742248634,-104.24904383744175,-105.42073010013945,0.955174884640633,4.702924336630332e-06,-91.09100270659019,-91.48156479415609,0.07347823314316249,-1.592364285714333e-05,2.1726969132588265e-05,-5.481085236220479e-07,4.075249156355463e-09,-116.13865211847468,-117.70090046873828,0.9972133200775998,7.540988235294136e-05,6.789673055028459e-06,-5.0379089184060586e-08,-99.24157911113525,-100.41326537383296,0.8779701732112709
713,3.371530673113021e-05,5861.768671783052,-626.5082864692324,-623.6403120602621,0.46717084663120234,3.3726743333684084e-05,5862.354110986077,2.8522602057989843e-09,-624.5082853909807,-620.2063237775253,0.46717088183757705,3.2343212728047632e-06,-592.8797757513767,-591.4457885468915,-0.1652387850225867,4.773507786913946e-05,7.465687803469935e-06,-1.8507957625411138e-07,1.4942476251230478e-09,-622.8442574837079,-617.1083086657674,0.4728965175486797,6.798238880274267e-05,3.2012133676457883e-06,-2.566642247970404e-08,-622.2722040270962,-617.9702424136408,0.4272975158538438
721,6.4575648353049075e-06,74282.33881259811,-163.45326753428114,-163.86974859582503,0.9183349470205662,6.457573920259918e-06,74282.35891335014,4.4286774247837e-10,-161.4532675335222,-162.07798912583803,0.9183349468554152,4.820615853162735e-07,-144.7955750752396,-145.00381560601156,-0.2727222064372081,3.3763471317561977e-06,1.6260208152310187e-06,-9.18452412197913e-08,1.5441353534503279e-09,-166.2548961290126,-167.08785825210038,0.973713994457881,5.9520846951884684e-06,4.5195103281798253e-07,-7.036206126939029e-09,-155.59983028409226,-156.2245518764081,0.7833649090078347
814,7.483219032211608e-06,560.696760187369,-157.9381840584398,-157.54373490376736,0.2204289611130934,7.512081319882569e-06,573.2326345252999,2.689374944964129e-09,-155.93818446548983,-155.34651073348118,0.22031319741880462,6.367473773805088e-06,-159.92958172530672,-159.7323571479705,0.22516085386898588,-1.4853114792937455e-06,2.969208519247723e-05,-1.521261519002156e-06,2.149467423478603e-08,-158.3443878454567,-157.55548953611182,0.5137952822315875,0.0001780209752954695,-7.947146417432705e-06,2.233460234734079e-07,-158.4610519498515,-157.86937821784284,0.40062388306206287
920,0.02527551809247952,1.0132775325125403,-30.97023679129434,-31.38671785283823,0.9472537100678636,0.02527540898402636,1.01327655656225,0.0,-28.970236791910708,-29.594958384226544,0.9472537088639378,0.0017641276174129583,-8.49059367836888,-8.698834209140825,-0.32500232803512485,0.21688239393286418,0.006581976163360498,-1.872724963902502e-05,1.518718417602635e-08,-22.32220765471434,-23.155169777802122,0.8855158678135815,0.37556446156309625,0.002633046016374902,-2.651347531104936e-06,-19.879286738688826,-20.504008331004663,0.7599318001050034
39835,9.663803580695074e-05,29.292153836465456,-125.02310774175879,-124.86422465839912,0.9035513209721541,9.663779065505196e-05,29.29139289616174,0.0,-123.02310774214826,-122.78478311710874,0.9035513267510293,8.782852548128162e-05,-126.57223575238794,-126.4927942107081,0.8983180497029859,0.0006480463602203523,4.5091537920299184e-05,6.035447161650625e-07,-6.525443731837463e-10,-123.41974760265504,-123.1019814359357,0.9284222602999482,0.0006398895555555556,4.639662666666669e-05,5.480784444444435e-07,-125.41974760265504,-125.18142297761553,0.9284222602999482
39836,2.818433727824754e-05,167.04332366671989,-225.50755353231665,-224.90238334632855,0.9998104781018828,2.818433720253033e-05,167.0433240450021,8.568539211495363e-10,-223.5075534512965,-222.59979817231437,0.9998104781003474,1.640836571348281e-05,-163.5115833698156,-163.20899827682157,0.8881201221501207,5.004926408636995e-05,2.5421311235284323e-05,-7.948393808019938e-08,1.1900625538936115e-10,-222.23019786493748,-221.0198574929613,0.9998236905235217,0.0001319005804076333,2.1791042004020293e-05,-4.0162128848884965e-08,-210.80687324907092,-209.89911797008878,0.9993250940812359
39837,1.3011379452754213e-05,165.28184629765954,-201.5535430798761,-200.948372893888,0.994907399124826,,,,,,,9.861204146810465e-06,-186.10916573099382,-185.8065806379998,0.9709700103302417,-2.801955942465123e-05,1.4843684775209506e-05,-5.132140908410175e-08,1.233302135998847e-10,-198.74581368358983,-197.53547331161366,0.9954797565178842,4.0690571186672726e-05,1.1596542994520997e-05,-1.3491684693715412e-08,-199.33992720887414,-198.432171929892,0.9947974207741455
